ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T22:04:19.033935,BARDUSDT,0.8814,0.7990059991376657,0.7505418485420993,91.66666666666667,-0.051725992042155
2025-10-02T22:04:19.033935,SOLUSDT,233.13,0.6476741809091814,0.7656605554392274,75.0,0.061936424082339014
2025-10-02T22:04:19.033935,XRPUSDT,3.0459,0.6259480818608358,0.6777414511255349,58.333333333333336,0.03941575947855158
2025-10-02T22:04:19.033935,ETHUSDT,4478.0,0.5077591884239575,0.5753618355033908,41.666666666666664,0.038477055201068255
2025-10-02T22:04:19.033935,BTCUSDT,120332.07,0.32042922685719855,0.43974960230906196,25.0,0.02210362545828759
2025-10-02T22:04:19.033935,USDCUSDT,0.9992,0.005722117581661179,0.004634313483587096,8.333333333333334,-0.0001000700490343398
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T22:09:29.635187,BARDUSDT,0.8836,3.074257792197129,2.71013944680914,91.66666666666667,-0.16592690527906317
2025-10-02T22:09:29.635187,SOLUSDT,233.7,0.689456690243689,0.7095843012858787,75.0,0.11457190555688035
2025-10-02T22:09:29.635187,ETHUSDT,4481.99,0.5181851562338535,0.5646000280117838,58.333333333333336,0.036202473130706236
2025-10-02T22:09:29.635187,XRPUSDT,3.0454,0.4321988743736403,0.4412914526719326,41.666666666666664,0.06359189378057306
2025-10-02T22:09:29.635187,BTCUSDT,120288.74,0.269279017853873,0.30196192524143695,25.0,0.08149945329922215
2025-10-02T22:09:29.635187,USDCUSDT,0.9992,0.004480042803230149,0.004560031276261894,8.333333333333334,-0.0005001000200040018
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T22:14:22.385134,BARDUSDT,0.8813,3.0750203696420004,2.7108810171624236,91.66666666666667,-0.16753234488620272
2025-10-02T22:14:22.385134,SOLUSDT,233.1,0.7423094384870386,0.7835355896635516,75.0,0.5783344617467843
2025-10-02T22:14:22.385134,XRPUSDT,3.0387,0.6874689355847016,0.5165432406204099,58.333333333333336,0.36883584778203105
2025-10-02T22:14:22.385134,ETHUSDT,4476.12,0.667579478357487,0.6080947743589593,41.666666666666664,0.7856134670898391
2025-10-02T22:14:22.385134,BTCUSDT,120311.99,0.2968389653397575,0.3300315186910293,25.0,0.11454662272939076
2025-10-02T22:14:22.385134,USDCUSDT,0.9993,0.003910101837190379,0.004520208425893531,8.333333333333334,-0.0005001000200040018
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T22:45:12.996736,BARDUSDT,0.8751,3.077353462656626,2.7138006479080263,97.36842105263158,-0.17329303994711498
2025-10-02T22:45:12.996736,XPLUSDT,0.8967,2.817025285360235,1.8490323581178296,92.10526315789474,-0.2983637360056369
2025-10-02T22:45:12.996736,ZECUSDT,131.23,1.9199686980414845,2.50489648725604,86.84210526315789,2.164301178734664
2025-10-02T22:45:12.996736,PUMPUSDT,0.006915,1.6738779988114398,1.523877701423534,81.57894736842105,0.17342609876124215
2025-10-02T22:45:12.996736,ENAUSDT,0.6291,0.9262799170216847,0.921880723925534,76.3157894736842,-0.08479999999999999
